[2025-11-24 09:22:33] [INFO] Received stop signal; exiting loop
[2025-11-24 17:35:36] [DRY] Would copy /home/pi/Desktop/offline-setup-12Sep/data/csv/readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 17:35:36] [DRY] Copy pass would copy 1 file(s) to /home/pi/Desktop/test-usb
[2025-11-24 17:35:36] [INFO] Dry-run: 1 file(s) would be copied to /home/pi/Desktop/test-usb
[2025-11-24 17:35:51] [OK] Copied readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 18:30:57] [INFO] No USB mount detected
[2025-11-24 18:31:02] [INFO] No USB mount detected
[2025-11-24 18:31:07] [INFO] No USB mount detected
[2025-11-24 18:31:12] [INFO] No USB mount detected
[2025-11-24 18:31:17] [INFO] No USB mount detected
[2025-11-24 18:31:22] [INFO] No USB mount detected
[2025-11-24 18:31:27] [INFO] No USB mount detected
[2025-11-24 18:31:32] [INFO] No USB mount detected
[2025-11-24 18:31:37] [INFO] No USB mount detected
[2025-11-24 18:31:42] [INFO] No USB mount detected
[2025-11-24 18:31:47] [INFO] No USB mount detected
[2025-11-24 18:31:52] [INFO] No USB mount detected
[2025-11-24 18:31:57] [INFO] No USB mount detected
[2025-11-24 18:32:02] [INFO] No USB mount detected
[2025-11-24 18:32:07] [INFO] No USB mount detected
[2025-11-24 18:32:12] [INFO] No USB mount detected
[2025-11-24 18:32:17] [INFO] No USB mount detected
[2025-11-24 18:32:22] [INFO] No USB mount detected
[2025-11-24 18:32:27] [INFO] No USB mount detected
[2025-11-24 18:32:32] [INFO] No USB mount detected
[2025-11-24 18:32:37] [INFO] No USB mount detected
[2025-11-24 18:32:42] [INFO] No USB mount detected
[2025-11-24 18:32:47] [INFO] No USB mount detected
[2025-11-24 18:32:52] [INFO] No USB mount detected
[2025-11-24 18:32:57] [INFO] No USB mount detected
[2025-11-24 18:33:02] [INFO] No USB mount detected
[2025-11-24 18:33:07] [INFO] No USB mount detected
[2025-11-24 18:33:12] [INFO] No USB mount detected
[2025-11-24 18:33:17] [INFO] No USB mount detected
[2025-11-24 18:33:22] [INFO] No USB mount detected
[2025-11-24 18:33:27] [INFO] No USB mount detected
[2025-11-24 18:33:32] [INFO] No USB mount detected
[2025-11-24 18:33:37] [INFO] No USB mount detected
[2025-11-24 18:33:42] [INFO] No USB mount detected
[2025-11-24 18:33:47] [INFO] No USB mount detected
[2025-11-24 18:33:52] [INFO] No USB mount detected
[2025-11-24 18:33:57] [INFO] No USB mount detected
[2025-11-24 18:34:02] [INFO] No USB mount detected
[2025-11-24 18:34:07] [INFO] No USB mount detected
[2025-11-24 18:34:12] [INFO] No USB mount detected
[2025-11-24 18:34:17] [INFO] No USB mount detected
[2025-11-24 18:34:22] [INFO] No USB mount detected
[2025-11-24 18:34:27] [INFO] No USB mount detected
[2025-11-24 18:34:32] [INFO] No USB mount detected
[2025-11-24 18:34:37] [INFO] No USB mount detected
[2025-11-24 18:34:42] [INFO] No USB mount detected
[2025-11-24 18:34:47] [INFO] No USB mount detected
[2025-11-24 18:34:52] [INFO] No USB mount detected
